angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.0,,"[523, 223, 224, 295]",,0.0,,0.52,,0.0,,0.0,,0.0,,0.48,
0.0,,"[524, 227, 225, 288]",,0.0,,0.4,,0.0,,0.0,,0.0,,0.6,
0.0,,"[526, 229, 222, 286]",,0.0,,0.53,,0.0,,0.0,,0.0,,0.47,
0.01,,"[525, 229, 224, 288]",,0.0,,0.51,,0.0,,0.0,,0.0,,0.49,
0.0,,"[524, 229, 224, 289]",,0.0,,0.43,,0.0,,0.0,,0.0,,0.57,
0.01,,"[525, 228, 224, 291]",,0.0,,0.67,,0.0,,0.0,,0.0,,0.32,
0.01,,"[526, 228, 223, 291]",,0.0,,0.64,,0.0,,0.0,,0.0,,0.34,
0.01,,"[526, 228, 222, 290]",,0.0,,0.57,,0.0,,0.0,,0.0,,0.42,
0.01,,"[526, 228, 222, 289]",,0.0,,0.49,,0.0,,0.0,,0.0,,0.5,
0.0,,"[525, 228, 223, 289]",,0.0,,0.41,,0.0,,0.0,,0.0,,0.59,
0.01,,"[524, 228, 225, 292]",,0.0,,0.55,,0.0,,0.0,,0.0,,0.44,
0.01,,"[523, 231, 228, 301]",,0.0,,0.32,,0.0,,0.0,,0.0,,0.67,
0.02,,"[522, 229, 229, 305]",,0.0,,0.27,,0.0,,0.0,,0.0,,0.71,
0.01,,"[523, 230, 228, 303]",,0.0,,0.23,,0.0,,0.0,,0.0,,0.76,
0.01,,"[524, 229, 228, 304]",,0.0,,0.24,,0.0,,0.0,,0.0,,0.75,
0.02,,"[524, 229, 228, 306]",,0.0,,0.39,,0.0,,0.0,,0.0,,0.59,
0.02,,"[524, 229, 230, 307]",,0.0,,0.4,,0.0,,0.0,,0.0,,0.57,
0.01,,"[525, 231, 229, 305]",,0.0,,0.43,,0.0,,0.0,,0.0,,0.56,
0.01,,"[527, 233, 230, 306]",,0.0,,0.43,,0.0,,0.0,,0.0,,0.56,
0.0,,"[526, 230, 225, 298]",,0.0,,0.29,,0.0,,0.0,,0.0,,0.7,
0.01,,"[529, 234, 222, 296]",,0.0,,0.19,,0.0,,0.04,,0.04,,0.71,
0.01,,"[525, 236, 223, 290]",,0.0,,0.27,,0.01,,0.19,,0.21,,0.32,
0.01,,"[525, 233, 221, 280]",,0.0,,0.36,,0.0,,0.25,,0.35,,0.03,
0.01,,"[526, 232, 224, 281]",,0.0,,0.25,,0.0,,0.33,,0.41,,0.01,
0.01,,"[524, 215, 236, 298]",,0.0,,0.24,,0.0,,0.09,,0.66,,0.0,
0.02,,"[515, 208, 242, 304]",,0.0,,0.17,,0.0,,0.14,,0.66,,0.0,
0.03,,"[530, 235, 226, 276]",,0.0,,0.51,,0.0,,0.26,,0.17,,0.03,
0.02,,"[528, 225, 225, 280]",,0.0,,0.53,,0.03,,0.27,,0.07,,0.08,
0.01,,"[527, 223, 225, 280]",,0.0,,0.79,,0.01,,0.07,,0.07,,0.05,
0.03,,"[516, 210, 238, 300]",,0.0,,0.68,,0.03,,0.07,,0.11,,0.08,
0.14,,"[521, 209, 238, 294]",,0.0,,0.45,,0.07,,0.06,,0.06,,0.23,
0.03,,"[518, 210, 240, 301]",,0.0,,0.65,,0.01,,0.01,,0.03,,0.26,
0.07,,"[518, 216, 241, 296]",,0.0,,0.55,,0.01,,0.03,,0.04,,0.3,
0.02,,"[525, 229, 228, 274]",,0.0,,0.54,,0.05,,0.03,,0.02,,0.33,
0.05,,"[525, 230, 228, 273]",,0.0,,0.56,,0.05,,0.03,,0.05,,0.25,
0.05,,"[523, 230, 229, 272]",,0.0,,0.42,,0.03,,0.01,,0.02,,0.47,
0.02,,"[522, 238, 228, 268]",,0.0,,0.23,,0.05,,0.08,,0.04,,0.59,
0.03,,"[524, 230, 227, 273]",,0.0,,0.4,,0.03,,0.01,,0.01,,0.52,
0.01,,"[523, 241, 224, 266]",,0.0,,0.16,,0.03,,0.03,,0.02,,0.75,
0.03,,"[524, 242, 225, 267]",,0.0,,0.38,,0.04,,0.11,,0.06,,0.38,
0.01,,"[523, 240, 226, 267]",,0.0,,0.18,,0.07,,0.04,,0.03,,0.67,
0.02,,"[524, 241, 224, 266]",,0.0,,0.25,,0.03,,0.04,,0.04,,0.63,
0.03,,"[525, 238, 225, 268]",,0.0,,0.31,,0.07,,0.09,,0.06,,0.45,
0.01,,"[527, 241, 222, 265]",,0.0,,0.15,,0.07,,0.13,,0.05,,0.57,
0.02,,"[525, 239, 226, 266]",,0.0,,0.29,,0.09,,0.12,,0.07,,0.41,
0.01,,"[525, 239, 225, 267]",,0.0,,0.28,,0.05,,0.12,,0.05,,0.49,
0.05,,"[526, 228, 225, 274]",,0.0,,0.49,,0.1,,0.11,,0.04,,0.21,
0.05,,"[525, 220, 235, 292]",,0.0,,0.62,,0.01,,0.04,,0.12,,0.15,
0.02,,"[529, 230, 220, 269]",,0.0,,0.52,,0.0,,0.23,,0.19,,0.04,
0.03,,"[530, 229, 220, 272]",,0.0,,0.43,,0.01,,0.27,,0.2,,0.05,
0.04,,"[529, 229, 222, 272]",,0.0,,0.29,,0.0,,0.35,,0.31,,0.01,
0.05,,"[528, 230, 222, 268]",,0.0,,0.33,,0.0,,0.35,,0.27,,0.01,
0.04,,"[527, 227, 222, 271]",,0.0,,0.28,,0.0,,0.2,,0.49,,0.0,
0.01,,"[526, 227, 222, 270]",,0.0,,0.26,,0.0,,0.32,,0.4,,0.0,
0.02,,"[529, 227, 219, 271]",,0.0,,0.24,,0.0,,0.24,,0.49,,0.0,
0.02,,"[526, 228, 222, 272]",,0.0,,0.15,,0.0,,0.28,,0.54,,0.0,
0.02,,"[527, 229, 220, 271]",,0.0,,0.13,,0.0,,0.26,,0.59,,0.0,
0.01,,"[527, 229, 221, 272]",,0.0,,0.11,,0.0,,0.3,,0.58,,0.0,
0.03,,"[532, 224, 225, 287]",,0.0,,0.09,,0.0,,0.17,,0.7,,0.0,
0.04,,"[533, 226, 227, 285]",,0.0,,0.08,,0.0,,0.12,,0.76,,0.0,
0.02,,"[531, 223, 218, 281]",,0.0,,0.12,,0.0,,0.06,,0.81,,0.0,
0.04,,"[529, 223, 226, 279]",,0.0,,0.17,,0.0,,0.04,,0.74,,0.0,
0.03,,"[529, 223, 226, 280]",,0.0,,0.17,,0.0,,0.06,,0.73,,0.0,
0.02,,"[532, 224, 222, 275]",,0.0,,0.15,,0.0,,0.05,,0.78,,0.0,
0.03,,"[528, 222, 228, 277]",,0.0,,0.23,,0.0,,0.06,,0.68,,0.0,
0.03,,"[535, 221, 224, 280]",,0.0,,0.18,,0.0,,0.04,,0.76,,0.0,
0.04,,"[535, 220, 225, 279]",,0.0,,0.22,,0.0,,0.06,,0.69,,0.0,
